Merek,Varian,Model,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Sistem Penggerak,Tipe bodi,Kapasitas mesin,Fitur tambahan,Tipe Penjual,Lokasi,Harga,Nama Bursa Mobil
Toyota,Lain-lain,Avanza,2012,40.000-45.000 km,Bensin,Hitam,Manual,,,>1.000 - 1.500 cc,,Individu,"Medan Johor, Medan Kota, Sumatra Utara",Rp 105.000.000,
Daihatsu,D,Luxio,2012,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,,Individu,"Banjarsari, Surakarta Kota, Jawa Tengah",Rp 85.000.000,
Honda,Satya E,Brio,2015,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,"['Jok kulit', 'Sensor Parkir', 'Electric Window', 'Airbag']",Individu,"Ngaglik, Sleman Kab., Yogyakarta D.I.",Rp 110.000.000,
Honda,Lain-lain,Maestro,1992,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,"['Bluetooth Audio', 'Electric Window', 'Jok kulit']",Individu,"Denpasar Utara, Denpasar Kota, Bali",Rp 37.000.000,
Suzuki,Lain-lain,Futura,2008,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Pick-up,>1.000 - 1.500 cc,Jok kulit,Individu,"Kayu Agung, Ogan Komering Ilir Kab., Sumatra Selatan",Rp 40.000.000,Bursa Gading Auto Center
Mitsubishi,Pick Up,T120SS,2015,40.000-45.000 km,Bensin,Hitam,Manual,,Pick-up,>1.000 - 1.500 cc,,Individu,"Pundong, Bantul Kab., Yogyakarta D.I.",Rp 75.000.000,
Timor,1.6,DOHC,2001,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.500 - 2.000 cc,"['Electric Window', 'Jok kulit']",Individu,"Banyuurip, Purworejo Kab., Jawa Tengah",Rp 30.000.000,Carsentro Yogyakarta
Toyota,Lain-lain,Etios Valco,2016,40.000-45.000 km,Bensin,Hitam,Manual,,,,,Individu,"Kenjeran, Surabaya Kota, Jawa Timur",Rp 120.000.000,
Suzuki,GL,Splash,2012,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Electric Window']",Individu,"Legok, Tangerang Kab., Banten",Rp 85.000.000,
Mitsubishi,Lain-lain,Lain-lain,2008,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,,Individu,"Cianjur, Cianjur Kab., Jawa Barat",Rp 45.000.000,
Honda,S,Mobilio,2017,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,"['Sensor Parkir', 'Kamera Belakang']",Individu,"Tenggilis Mejoyo, Surabaya Kota, Jawa Timur",Rp 95.000.000,
Daihatsu,Lain-lain,Gran max,2016,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,,Individu,"Mangkubumi, Tasikmalaya Kota, Jawa Barat",Rp 80.000.000,
Suzuki,Lain-lain,Katana,1990,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Jeep,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Jok kulit']",Individu,"Denpasar Selatan, Denpasar Kota, Bali",Rp 30.000.000,
Daihatsu,TS Extra,Terios,2014,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),SUV,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Jok kulit', 'Sensor Parkir']",Individu,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",Rp 117.500.000,
Honda,E,Mobilio,2017,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'GPS', 'Jok kulit', 'Sensor Parkir']",Individu,"Marpoyan Damai, Pekanbaru Kota, Riau",Rp 154.500.000,
Honda,E,Brio,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'GPS']",Individu,"Soreang, Bandung Kab., Jawa Barat",Rp 99.000.000,
Daihatsu,1.2 R,Sigra,2017,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),MPV,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'GPS', 'Jok kulit', 'Sensor Parkir']",Individu,"Penjaringan, Jakarta Utara, Jakarta D.K.I.",Rp 102.000.000,
Daihatsu,D,Sirion,2013,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Electric Window', 'Sensor Parkir']",Individu,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",Rp 85.000.000,
Suzuki,GX,Ertiga,2017,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Sensor Parkir']",Individu,"Blora kota, Blora Kab., Jawa Tengah",Rp 180.000.000,
Toyota,G,Avanza,2010,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,"['Bluetooth Audio', 'Airbag', 'Electric Window', 'Jok kulit']",Individu,"Ngaglik, Sleman Kab., Yogyakarta D.I.",Rp 105.000.000,Carsentro Yogyakarta
Daihatsu,Lain-lain,Gran max,2008,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,Bluetooth Audio,Individu,"Kotabumi Selatan, Lampung Utara Kab., Lampung",Rp 56.000.000,
Toyota,E,Avanza,2016,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Compact & City Car,>1.000 - 1.500 cc,"['Airbag', 'Electric Window']",Individu,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",Rp 124.000.000,
Suzuki,GL,Ertiga,2015,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Sensor Parkir']",Individu,"Cipondoh, Tangerang Kota, Banten",Rp 123.000.000,
Toyota,Veloz,Avanza,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Kamera Belakang', 'Sensor Parkir']",Individu,"Medan Maimun, Medan Kota, Sumatra Utara",Rp 166.000.000,
Daihatsu,Lain-lain,Gran max,2014,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,,Individu,"Sumbang, Banyumas Kab., Jawa Tengah",Rp 110.000.000,
Honda,E,Mobilio,2014,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,Jok kulit,Individu,"Candi, Sidoarjo  Kab., Jawa Timur",Rp 135.000.000,
